,Date and time (UTC),Air Temperature (ºC),Market Price (EUR),Total electricity consumption (Wh),Pmpp FranceWatts panel (Wh)
17325,2017-07-10 22:30:00+00:00,16.402,30.93,8975.25,0.0
17326,2017-07-10 23:00:00+00:00,15.965333333333335,30.28,8998.583333333334,0.0
17327,2017-07-10 23:30:00+00:00,15.561333333333332,30.28,8851.166666666666,0.0
17328,2017-07-11 00:00:00+00:00,15.116666666666665,29.63,9166.083333333332,0.0
17329,2017-07-11 00:30:00+00:00,14.851,29.63,8901.0,0.0
17330,2017-07-11 01:00:00+00:00,14.827,28.96,8903.833333333332,0.0
17331,2017-07-11 01:30:00+00:00,14.903999999999998,28.96,8835.25,0.0
17332,2017-07-11 02:00:00+00:00,14.897999999999998,28.95,8885.083333333332,0.0
17333,2017-07-11 02:30:00+00:00,14.824666666666666,28.95,9262.166666666666,0.0
17334,2017-07-11 03:00:00+00:00,14.695333333333332,30.08,9178.333333333334,0.0
17335,2017-07-11 03:30:00+00:00,14.749333333333334,30.08,9459.333333333332,0.0
17336,2017-07-11 04:00:00+00:00,14.715666666666664,34.51,9541.416666666666,0.6071666666666666
17337,2017-07-11 04:30:00+00:00,14.418333333333331,34.51,10115.25,1.4837499999999997
17338,2017-07-11 05:00:00+00:00,14.671,41.44,12797.583333333332,2.11925
17339,2017-07-11 05:30:00+00:00,15.043000000000001,41.44,13083.0,4.351333333333333
17340,2017-07-11 06:00:00+00:00,15.305,44.22,13518.249999999998,7.11475
17341,2017-07-11 06:30:00+00:00,15.662666666666667,44.22,13887.083333333332,21.498833333333334
17342,2017-07-11 07:00:00+00:00,15.821,43.43,16899.583333333332,17.479000000000003
17343,2017-07-11 07:30:00+00:00,16.496000000000002,43.43,18106.416666666668,17.732749999999996
17344,2017-07-11 08:00:00+00:00,16.819000000000003,42.03,17345.999999999996,25.336166666666664
17345,2017-07-11 08:30:00+00:00,17.008333333333333,42.03,18521.0,20.902749999999997
17346,2017-07-11 09:00:00+00:00,16.805,41.45,18034.75,29.16408333333333
17347,2017-07-11 09:30:00+00:00,16.964,41.45,18589.5,38.25508333333333
17348,2017-07-11 10:00:00+00:00,18.163666666666668,39.42,17239.249999999996,72.517
17349,2017-07-11 10:30:00+00:00,18.687333333333335,39.42,17724.000000000004,90.6985
17350,2017-07-11 11:00:00+00:00,19.34633333333333,36.01,17745.666666666664,57.035916666666665
17351,2017-07-11 11:30:00+00:00,20.12966666666667,36.01,17849.916666666664,96.46733333333333
17352,2017-07-11 12:00:00+00:00,21.067333333333334,34.21,19175.416666666664,103.26958333333333
17353,2017-07-11 12:30:00+00:00,21.959999999999997,34.21,19794.0,108.85033333333331
17354,2017-07-11 13:00:00+00:00,22.512666666666664,34.42,19643.0,83.93350000000001
17355,2017-07-11 13:30:00+00:00,22.878666666666664,34.42,19815.25,85.02649999999998
17356,2017-07-11 14:00:00+00:00,22.971,35.39,20114.833333333332,71.45666666666666
17357,2017-07-11 14:30:00+00:00,22.48866666666667,35.39,19608.583333333332,40.17466666666667
